date,instrument,expiry_date,option_type,strike,strike_offset,pair_high,pair_low,pair_bar1_time,pair_bar2_time,range_size,sl_spot,tp_spot,trigger_time,spot_at_trigger,trigger_option_close,entry_time,spot_at_entry,entry_price,exit_time,spot_at_exit,exit_price,exit_reason,pnl_points,pnl_inr,lot_size
2026-05-13,NIFTY,2026-05-19,PE,23350,-3,23540.5,23513.8,13:32,13:33,26.700000000000728,23540.5,23481.76,13:49,23511.75,146.4,13:50,23510.75,147.0,13:56,23481.85,162.95,TP,15.949999999999989,1036.7499999999993,65
2026-05-13,NIFTY,2026-05-19,CE,23700,4,23509.6,23480.25,13:55,13:56,29.349999999998545,23480.25,23544.819999999996,14:09,23513.0,152.35,14:10,23512.9,152.3,14:21,23471.85,134.3,SL,-18.0,-1170.0,65
2026-05-13,NIFTY,2026-05-19,CE,23700,4,23484.2,23469.8,14:20,14:21,14.400000000001455,23469.8,23501.480000000003,14:23,23491.15,139.95,14:24,23491.9,140.05,14:25,23509.5,142.15,TP,2.0999999999999943,136.49999999999963,65
2026-05-13,NIFTY,2026-05-19,PE,23300,-4,23516.35,23491.9,14:24,14:25,24.44999999999709,23516.35,23462.560000000005,14:27,23488.25,140.7,14:28,23488.55,140.0,14:45,23448.4,155.35,EOD,15.349999999999994,997.7499999999997,65
2026-05-14,NIFTY,2026-05-19,PE,23400,-3,23581.5,23535.3,09:17,09:18,46.20000000000073,23581.5,23479.859999999997,09:39,23524.5,138.0,09:40,23525.75,137.9,09:54,23482.1,155.75,TP,17.849999999999994,1160.2499999999995,65
2026-05-14,NIFTY,2026-05-19,PE,23350,-2,23475.35,23452.85,09:56,09:57,22.5,23475.35,23425.85,09:58,23447.95,147.7,09:59,23450.8,148.2,10:03,23490.8,132.8,SL,-15.399999999999977,-1000.9999999999985,65
2026-05-14,NIFTY,2026-05-19,PE,23350,-2,23492.6,23471.2,10:02,10:03,21.399999999997817,23492.6,23445.520000000004,10:06,23465.8,142.45,10:07,23468.75,142.15,10:14,23485.05,134.0,SL,-8.150000000000006,-529.7500000000003,65
2026-05-14,NIFTY,2026-05-19,CE,23650,3,23496.35,23482.15,10:13,10:14,14.19999999999709,23482.15,23513.389999999996,10:17,23505.1,135.95,10:18,23505.2,136.5,10:20,23515.35,136.9,TP,0.4000000000000057,26.00000000000037,65
2026-05-14,NIFTY,2026-05-19,PE,23400,-2,23516.25,23495.95,10:19,10:20,20.299999999999272,23516.25,23471.59,10:21,23485.15,152.55,10:22,23487.5,152.35,10:29,23517.45,138.25,SL,-14.099999999999994,-916.4999999999997,65
2026-05-14,NIFTY,2026-05-19,CE,23650,3,23517.5,23505.6,10:28,10:29,11.900000000001455,23505.6,23531.780000000002,10:34,23519.05,139.05,10:35,23520.2,139.9,10:36,23531.75,142.25,TP,2.3499999999999943,152.74999999999963,65
2026-05-14,NIFTY,2026-05-19,PE,23400,-2,23537.5,23526.1,10:36,10:37,11.400000000001455,23537.5,23512.42,10:41,23521.25,136.5,10:42,23522.15,136.6,10:44,23503.05,143.35,TP,6.75,438.75,65
2026-05-14,NIFTY,2026-05-19,CE,23550,2,23456.6,23426.55,10:49,10:50,30.049999999999272,23426.55,23492.659999999996,10:51,23460.45,153.6,10:52,23462.15,154.0,11:19,23494.6,163.4,TP,9.400000000000006,611.0000000000003,65
2026-05-14,NIFTY,2026-05-19,PE,23450,-1,23549.25,23530.45,11:24,11:25,18.799999999999272,23549.25,23507.890000000003,11:26,23518.7,144.75,11:27,23521.1,143.75,11:29,23574.1,124.7,SL,-19.049999999999997,-1238.2499999999998,65
2026-05-14,NIFTY,2026-05-19,CE,23700,2,23577.8,23544.5,11:28,11:29,33.29999999999927,23544.5,23617.76,11:31,23584.9,137.8,11:32,23586.7,139.1,11:36,23621.2,154.6,TP,15.5,1007.5,65
2026-05-14,NIFTY,2026-05-19,CE,23750,2,23626.6,23603.7,11:35,11:36,22.899999999997817,23603.7,23654.079999999994,11:39,23628.05,134.8,11:40,23629.15,134.9,11:42,23647.5,144.35,TP,9.449999999999989,614.2499999999993,65
2026-05-14,NIFTY,2026-05-19,CE,23800,3,23660.6,23643.3,11:42,11:43,17.299999999999272,23643.3,23681.359999999997,11:44,23668.6,141.25,11:45,23670.7,142.45,11:46,23655.25,131.8,TP,-10.649999999999977,-692.2499999999985,65
2026-05-14,NIFTY,2026-05-19,CE,23800,2,23669.5,23645.05,11:46,11:47,24.450000000000728,23645.05,23698.84,11:48,23673.95,140.8,11:49,23675.15,140.15,11:53,23692.15,149.2,TP,9.049999999999983,588.2499999999989,65
2026-05-14,NIFTY,2026-05-19,PE,23550,-3,23702.5,23679.6,11:52,11:53,22.900000000001455,23702.5,23652.119999999995,11:54,23673.75,136.0,11:55,23675.45,136.95,12:04,23653.75,141.6,TP,4.650000000000006,302.25000000000034,65
2026-05-14,NIFTY,2026-05-19,CE,23800,3,23658.25,23645.95,12:04,12:05,12.299999999999272,23645.95,23673.01,12:07,23667.6,136.35,12:08,23669.1,136.85,12:10,23651.95,127.8,SL,-9.049999999999997,-588.2499999999998,65
2026-05-14,NIFTY,2026-05-19,CE,23800,3,23653.75,23636.45,12:10,12:11,17.299999999999272,23636.45,23674.51,12:14,23667.4,136.4,12:15,23667.95,135.9,12:16,23677.95,140.75,TP,4.849999999999994,315.24999999999966,65
2026-05-14,NIFTY,2026-05-19,PE,23600,-2,23708.1,23689.55,12:17,12:18,18.549999999999272,23708.1,23667.29,12:19,23681.65,148.85,12:20,23682.6,148.5,12:23,23690.95,143.85,EOD,-4.650000000000006,-302.25000000000034,65
