Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
233,Entry short,2026-04-30 13:15,Short,23942.05,1,23942.05,-50,-0.21,3.7,0.02,-50,-0.21,1173.8,0.12
234,Exit long,2026-04-30 14:42,L-Exit,24083.8,1,24008.8,75,0.31,75,0.31,-24.35,-0.10,1248.8,0.12
234,Entry long,2026-04-30 13:39,Long,24008.8,1,24008.8,75,0.31,75,0.31,-24.35,-0.10,1248.8,0.12
235,Exit short,2026-05-04 13:27,S-Exit,24025.55,1,24100.55,75,0.31,75,0.31,-20.8,-0.09,1323.8,0.13
235,Entry short,2026-05-04 12:42,Short,24100.55,1,24100.55,75,0.31,75,0.31,-20.8,-0.09,1323.8,0.13
236,Exit short,2026-05-04 14:18,S-Exit,24137.6,1,24087.6,-50,-0.21,37.2,0.15,-50,-0.21,1273.8,0.13
236,Entry short,2026-05-04 13:51,Short,24087.6,1,24087.6,-50,-0.21,37.2,0.15,-50,-0.21,1273.8,0.13
237,Exit long,2026-05-04 14:39,L-Exit,24094.95,1,24144.95,-50,-0.21,4.75,0.02,-50,-0.21,1223.8,0.12
237,Entry long,2026-05-04 14:18,Long,24144.95,1,24144.95,-50,-0.21,4.75,0.02,-50,-0.21,1223.8,0.12
238,Exit short,2026-05-04 15:12,S-Exit,24128,1,24078,-50,-0.21,7,0.03,-50,-0.21,1173.8,0.12
238,Entry short,2026-05-04 14:39,Short,24078,1,24078,-50,-0.21,7,0.03,-50,-0.21,1173.8,0.12
239,Exit long,2026-05-05 13:30,L-Exit,24017.65,1,24067.65,-50,-0.21,14.05,0.06,-50,-0.21,1123.8,0.11
239,Entry long,2026-05-05 13:06,Long,24067.65,1,24067.65,-50,-0.21,14.05,0.06,-50,-0.21,1123.8,0.11
240,Exit long,2026-05-05 15:15,EOD Square-off,24049.1,1,24038.25,10.85,0.05,23.9,0.10,-40.4,-0.17,1134.65,0.11
240,Entry long,2026-05-05 13:36,Long,24038.25,1,24038.25,10.85,0.05,23.9,0.10,-40.4,-0.17,1134.65,0.11
241,Exit long,2026-05-06 12:15,L-Exit,24062.5,1,24112.5,-50,-0.21,4.85,0.02,-50,-0.21,1084.65,0.11
241,Entry long,2026-05-06 11:27,Long,24112.5,1,24112.5,-50,-0.21,4.85,0.02,-50,-0.21,1084.65,0.11
242,Exit short,2026-05-06 13:30,S-Exit,24088.85,1,24038.85,-50,-0.21,40.95,0.17,-50,-0.21,1034.65,0.10
242,Entry short,2026-05-06 12:21,Short,24038.85,1,24038.85,-50,-0.21,40.95,0.17,-50,-0.21,1034.65,0.10
243,Exit long,2026-05-06 14:18,L-Exit,24179,1,24104,75,0.31,75,0.31,-9.85,-0.04,1109.65,0.11
243,Entry long,2026-05-06 13:36,Long,24104,1,24104,75,0.31,75,0.31,-9.85,-0.04,1109.65,0.11
244,Exit long,2026-05-07 15:06,L-Exit,24310.35,1,24360.35,-50,-0.21,24.95,0.10,-50,-0.21,1059.65,0.11
244,Entry long,2026-05-07 14:21,Long,24360.35,1,24360.35,-50,-0.21,24.95,0.10,-50,-0.21,1059.65,0.11
245,Exit short,2026-05-11 14:48,S-Exit,23887.35,1,23962.35,75,0.31,75,0.31,-35.1,-0.15,1134.65,0.11
245,Entry short,2026-05-11 13:36,Short,23962.35,1,23962.35,75,0.31,75,0.31,-35.1,-0.15,1134.65,0.11
246,Exit long,2026-05-13 12:33,L-Exit,23462.75,1,23512.75,-50,-0.21,5.95,0.03,-50,-0.21,1084.65,0.11
246,Entry long,2026-05-13 12:12,Long,23512.75,1,23512.75,-50,-0.21,5.95,0.03,-50,-0.21,1084.65,0.11
247,Exit short,2026-05-13 12:48,S-Exit,23474.3,1,23424.3,-50,-0.21,0.3,0.00,-50,-0.21,1034.65,0.10
247,Entry short,2026-05-13 12:39,Short,23424.3,1,23424.3,-50,-0.21,0.3,0.00,-50,-0.21,1034.65,0.10
248,Exit long,2026-05-13 13:15,L-Exit,23507.5,1,23557.5,-50,-0.21,25.45,0.11,-50,-0.21,984.65,0.10
248,Entry long,2026-05-13 12:54,Long,23557.5,1,23557.5,-50,-0.21,25.45,0.11,-50,-0.21,984.65,0.10
249,Exit long,2026-05-13 13:54,L-Exit,23484.7,1,23534.7,-50,-0.21,5.8,0.02,-50,-0.21,934.65,0.09
249,Entry long,2026-05-13 13:30,Long,23534.7,1,23534.7,-50,-0.21,5.8,0.02,-50,-0.21,934.65,0.09
250,Exit short,2026-05-13 15:15,EOD Square-off,23419.5,1,23467.5,48,0.20,64.65,0.28,-23.35,-0.10,982.65,0.10
250,Entry short,2026-05-13 14:42,Short,23467.5,1,23467.5,48,0.20,64.65,0.28,-23.35,-0.10,982.65,0.10
251,Exit short,2026-05-14 10:18,S-Exit,23511.2,1,23461.2,-50,-0.21,14.5,0.06,-50,-0.21,932.65,0.09
251,Entry short,2026-05-14 09:54,Short,23461.2,1,23461.2,-50,-0.21,14.5,0.06,-50,-0.21,932.65,0.09
252,Exit long,2026-05-14 10:45,L-Exit,23480.4,1,23530.4,-50,-0.21,7.1,0.03,-50,-0.21,882.65,0.09
252,Entry long,2026-05-14 10:33,Long,23530.4,1,23530.4,-50,-0.21,7.1,0.03,-50,-0.21,882.65,0.09
253,Exit short,2026-05-14 11:21,S-Exit,23511.85,1,23461.85,-50,-0.21,35.3,0.15,-50,-0.21,832.65,0.08
253,Entry short,2026-05-14 10:45,Short,23461.85,1,23461.85,-50,-0.21,35.3,0.15,-50,-0.21,832.65,0.08
254,Exit long,2026-05-14 11:33,L-Exit,23610.15,1,23535.15,75,0.32,75,0.32,-21.1,-0.09,907.65,0.09
254,Entry long,2026-05-14 11:21,Long,23535.15,1,23535.15,75,0.32,75,0.32,-21.1,-0.09,907.65,0.09
255,Exit long,2026-05-15 13:48,Short,23702.95,1,23747,-44.05,-0.19,50.5,0.21,-45.25,-0.19,863.6,0.09
255,Entry long,2026-05-15 12:00,Long,23747,1,23747,-44.05,-0.19,50.5,0.21,-45.25,-0.19,863.6,0.09
256,Exit short,2026-05-15 14:48,S-Exit,23627.95,1,23702.95,75,0.32,75,0.32,-31.8,-0.13,938.6,0.09
256,Entry short,2026-05-15 13:48,Short,23702.95,1,23702.95,75,0.32,75,0.32,-31.8,-0.13,938.6,0.09
257,Exit short,2026-05-18 12:30,S-Exit,23564,1,23514,-50,-0.21,45.65,0.19,-50,-0.21,888.6,0.09
257,Entry short,2026-05-18 11:45,Short,23514,1,23514,-50,-0.21,45.65,0.19,-50,-0.21,888.6,0.09
258,Exit long,2026-05-18 13:03,L-Exit,23653.6,1,23578.6,75,0.32,75,0.32,-5.95,-0.03,963.6,0.10
258,Entry long,2026-05-18 12:30,Long,23578.6,1,23578.6,75,0.32,75,0.32,-5.95,-0.03,963.6,0.10
259,Exit long,2026-05-19 13:57,L-Exit,23675.75,1,23725.75,-50,-0.21,17.55,0.07,-50,-0.21,913.6,0.09
259,Entry long,2026-05-19 13:06,Long,23725.75,1,23725.75,-50,-0.21,17.55,0.07,-50,-0.21,913.6,0.09
260,Exit long,2026-05-19 14:36,L-Exit,23679.55,1,23729.55,-50,-0.21,0.8,0.00,-50,-0.21,863.6,0.09
260,Entry long,2026-05-19 14:15,Long,23729.55,1,23729.55,-50,-0.21,0.8,0.00,-50,-0.21,863.6,0.09
261,Exit short,2026-05-19 15:15,EOD Square-off,23608.9,1,23657.9,49,0.21,57,0.24,-9,-0.04,912.6,0.09
261,Entry short,2026-05-19 14:42,Short,23657.9,1,23657.9,49,0.21,57,0.24,-9,-0.04,912.6,0.09
262,Exit long,2026-05-20 12:03,L-Exit,23588.25,1,23638.25,-50,-0.21,2,0.01,-50,-0.21,862.6,0.09
262,Entry long,2026-05-20 11:48,Long,23638.25,1,23638.25,-50,-0.21,2,0.01,-50,-0.21,862.6,0.09
263,Exit short,2026-05-20 14:00,S-Exit,23629.95,1,23579.95,-50,-0.21,18.1,0.08,-50,-0.21,812.6,0.08
