time,open,high,low,close,Up Trend,Down Trend,Up Trend,Down Trend,VWAP,Histogram,MACD,Signal line
2026-04-02T13:25:00+05:30,22440.3,22489.05,22421.05,22488.25,22381.272542877436,,22336.533191525923,,22269.479870653988,17.38193021958572,40.22509849222479,22.84316827263907
2026-04-02T13:30:00+05:30,22488.45,22502.85,22458,22491.8,22405.851415733563,,22360.304872373334,,22274.357541064575,18.671664093540706,46.18274838956495,27.511084296024244
2026-04-02T13:35:00+05:30,22491,22523,22465.15,22517.8,22417.44509494689,,22368.611885136,,22278.22137943787,19.909690769327888,52.3981977576841,32.488506988356214
2026-04-02T13:40:00+05:30,22519.15,22543.5,22513.4,22535.65,22452.641590199542,,22406.5031966224,,22282.566988077324,20.484916798258567,58.094652986179426,37.60973618792086
2026-04-02T13:45:00+05:30,22537.8,22561.55,22524.5,22533.8,22467.302010689567,,22422.157876960162,,22286.46734397165,19.31066067710723,61.748062034304894,42.437401357197665
2026-04-02T13:50:00+05:30,22533.55,22560.2,22519.1,22532.05,22467.302010689567,,22422.157876960162,,22290.82540914818,17.06378834817454,63.76713679241584,46.7033484442413
2026-04-02T13:55:00+05:30,22530.15,22538.45,22493.8,22530.35,22467.302010689567,,22422.157876960162,,22295.23227628967,14.226704778393128,64.48672941723271,50.26002463883958
2026-04-02T14:00:00+05:30,22529.45,22561.8,22519.85,22560,22467.302010689567,,22422.157876960162,,22298.91758058443,13.136671068652959,66.68086347465578,53.54419240600282
2026-04-02T14:05:00+05:30,22558.9,22573.3,22537.3,22567.95,22478.484428187967,,22434.03406057356,,22303.433499864434,11.784011297984762,68.27420652848377,56.49019523049901
2026-04-02T14:10:00+05:30,22566.7,22628.8,22566.4,22627.25,22518.385206778566,,22469.740654516205,,22309.55993738285,13.587830152206877,73.47498292075761,59.887152768550735
2026-04-02T14:15:00+05:30,22625.85,22673.15,22618.4,22651.95,22565.04594643964,,22514.276589064586,,22318.014835122045,15.036448910809703,78.68271390706286,63.64626499625316
2026-04-02T14:20:00+05:30,22651.55,22675.4,22637.75,22673.85,22576.11739911766,,22526.931430158125,,22324.158044401687,15.973535574471342,83.61318446434234,67.639648889871
2026-04-02T14:25:00+05:30,22672.55,22684.7,22645.85,22665.65,22584.95527916178,,22536.940787142314,,22329.98057725231,14.583561600078852,85.86910088996956,71.2855392898907
2026-04-02T14:30:00+05:30,22665.55,22706.65,22656.6,22689.15,22600.316265203688,,22551.10920842808,,22336.464367906014,13.797676889148903,88.53263540132684,74.73495851217794
2026-04-02T14:35:00+05:30,22690.35,22694.5,22620.95,22629.15,22600.316265203688,,22551.10920842808,,22342.417982561663,8.071398375179996,84.82420648115294,76.75280810597295
2026-04-02T14:40:00+05:30,22630.85,22639.6,22572.85,22584.6,,22693.26838315367,22551.10920842808,,22349.527391418407,0.5163442751354239,77.39823844989223,76.88189417475681
2026-04-02T14:45:00+05:30,22584.4,22634.95,22569.15,22615.5,,22691.32121399599,22551.10920842808,,22353.55010741421,-2.97503663093741,73.16309838608504,76.13813501702245
2026-04-02T14:50:00+05:30,22614.9,22663.6,22609.9,22659.55,,22691.32121399599,22551.10920842808,,22358.05122232452,-2.890378959659728,72.52516131744778,75.41554027710751
