date,part,side,strike,leg_id,entry_kind,entry_time,entry_cost,sl_level,target_level,exit_time,exit_price,exit_reason,pnl_points,pnl_inr,dte
2025-12-29,P1,CE,85700.0,2025-12-29_P1_CE_85700,INITIAL,2025-12-29 09:45:00+05:30,103.25,129.0625,10.325000000000001,2025-12-29 15:28:00+05:30,45.8,EOD,57.45,1149.0,3
2025-12-29,P1,PE,84500.0,2025-12-29_P1_PE_84500,INITIAL,2025-12-29 09:45:00+05:30,50.1,62.625,5.010000000000001,2025-12-29 09:55:00+05:30,62.625,SL,-12.524999999999999,-250.49999999999997,3
2025-12-29,P2,CE,85100.0,2025-12-29_P2_CE_85100,INITIAL,2025-12-29 12:23:00+05:30,171.7,214.625,17.169999999999998,2025-12-29 15:28:00+05:30,171.0,EOD,0.6999999999999886,13.999999999999773,3
2025-12-30,P1,CE,85300.0,2025-12-30_P1_CE_85300,INITIAL,2025-12-30 09:45:00+05:30,76.1,95.125,7.609999999999999,2025-12-30 10:24:00+05:30,95.125,SL,-19.025000000000006,-380.5000000000001,2
2025-12-30,P1,CE,85300.0,2025-12-30_P1_CE_85300,REENTRY,2025-12-30 10:45:00+05:30,76.1,95.125,7.609999999999999,2025-12-30 15:28:00+05:30,55.45,EOD,20.64999999999999,412.99999999999983,2
2025-12-30,P1,PE,84100.0,2025-12-30_P1_PE_84100,INITIAL,2025-12-30 09:45:00+05:30,60.95,76.1875,6.095000000000001,2025-12-30 15:28:00+05:30,22.75,EOD,38.2,764.0,2
2025-12-30,P2,CE,84700.0,2025-12-30_P2_CE_84700,INITIAL,2025-12-30 11:58:00+05:30,208.35,260.4375,20.835,2025-12-30 13:36:00+05:30,260.4375,SL,-52.087500000000006,-1041.75,2
2025-12-31,P1,CE,85300.0,2025-12-31_P1_CE_85300,INITIAL,2025-12-31 09:45:00+05:30,40.6,50.75,4.0600000000000005,2025-12-31 10:33:00+05:30,50.75,SL,-10.149999999999999,-202.99999999999997,1
2025-12-31,P1,PE,84100.0,2025-12-31_P1_PE_84100,INITIAL,2025-12-31 09:45:00+05:30,15.35,19.1875,1.5350000000000001,2025-12-31 12:34:00+05:30,8.55,EOD_LAST_AVAILABLE,6.799999999999999,135.99999999999997,1
2025-12-31,P2,PE,84700.0,2025-12-31_P2_PE_84700,INITIAL,2025-12-31 11:49:00+05:30,51.1,63.875,5.11,2025-12-31 15:28:00+05:30,17.65,EOD,33.45,669.0,1
2026-01-01,P1,CE,86000.0,2026-01-01_P1_CE_86000,INITIAL,2026-01-01 09:45:00+05:30,3.3,4.125,0.33,2026-01-01 09:52:00+05:30,4.125,SL,-0.8250000000000002,-16.500000000000004,0
2026-01-01,P1,CE,86000.0,2026-01-01_P1_CE_86000,REENTRY,2026-01-01 09:55:00+05:30,3.3,4.125,0.33,2026-01-01 14:54:00+05:30,0.33,TARGET,2.9699999999999998,59.39999999999999,0
2026-01-01,P1,PE,84800.0,2026-01-01_P1_PE_84800,INITIAL,2026-01-01 09:45:00+05:30,6.45,8.0625,0.645,2026-01-01 09:58:00+05:30,8.0625,SL,-1.6124999999999998,-32.25,0
2026-01-01,P1,PE,84800.0,2026-01-01_P1_PE_84800,REENTRY,2026-01-01 10:03:00+05:30,6.45,8.0625,0.645,2026-01-01 10:12:00+05:30,8.0625,SL,-1.6124999999999998,-32.25,0
2026-01-01,P2,CE,85400.0,2026-01-01_P2_CE_85400,INITIAL,2026-01-01 12:08:00+05:30,23.55,29.4375,2.355,2026-01-01 12:25:00+05:30,29.4375,SL,-5.887499999999999,-117.74999999999999,0
2026-01-01,P2,CE,85400.0,2026-01-01_P2_CE_85400,REENTRY,2026-01-01 12:31:00+05:30,23.55,29.4375,2.355,2026-01-01 12:32:00+05:30,29.4375,SL,-5.887499999999999,-117.74999999999999,0
2026-01-05,P1,CE,86200.0,2026-01-05_P1_CE_86200,INITIAL,2026-01-05 09:45:00+05:30,81.0,101.25,8.1,2026-01-05 09:50:00+05:30,101.25,SL,-20.25,-405.0,3
2026-01-05,P1,CE,86200.0,2026-01-05_P1_CE_86200,REENTRY,2026-01-05 13:29:00+05:30,81.0,101.25,8.1,2026-01-05 15:28:00+05:30,51.1,EOD,29.9,598.0,3
2026-01-05,P1,PE,85000.0,2026-01-05_P1_PE_85000,INITIAL,2026-01-05 09:45:00+05:30,92.45,115.5625,9.245000000000001,2026-01-05 13:50:00+05:30,115.5625,SL,-23.112499999999997,-462.24999999999994,3
2026-01-05,P2,CE,85600.0,2026-01-05_P2_CE_85600,INITIAL,2026-01-05 13:30:00+05:30,287.1,358.875,28.710000000000004,2026-01-05 15:28:00+05:30,189.25,EOD,97.85000000000002,1957.0000000000005,3
2026-01-06,P1,CE,85800.0,2026-01-06_P1_CE_85800,INITIAL,2026-01-06 09:45:00+05:30,82.7,103.375,8.270000000000001,2026-01-06 09:56:00+05:30,103.375,SL,-20.674999999999997,-413.49999999999994,2
2026-01-06,P1,CE,85800.0,2026-01-06_P1_CE_85800,REENTRY,2026-01-06 10:33:00+05:30,82.7,103.375,8.270000000000001,2026-01-06 15:28:00+05:30,30.05,EOD,52.650000000000006,1053.0,2
2026-01-06,P1,PE,84600.0,2026-01-06_P1_PE_84600,INITIAL,2026-01-06 09:45:00+05:30,59.75,74.6875,5.9750000000000005,2026-01-06 11:19:00+05:30,74.6875,SL,-14.9375,-298.75,2
