time,open,high,low,close,Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Bars (Open),Bars (High,Bars (Low),Bars (Close)
2026-03-24T14:54:00+05:30,22887.35,22907.3,22883.9,22895.85,22904.952787439906,22907.3,22883.9,22893.6,22904.952787439906,22907.3,22883.9,22893.6
2026-03-24T14:57:00+05:30,22895.35,22927.15,22894.85,22916.35,22899.276393719952,22927.15,22894.85,22908.425000000003,22899.276393719952,22927.15,22894.85,22908.425000000003
2026-03-24T15:00:00+05:30,22914.6,22923.45,22875.35,22914,22903.850696859976,22923.45,22875.35,22906.85,22903.850696859976,22923.45,22875.35,22906.85
2026-03-24T15:03:00+05:30,22915.8,22919.65,22894.15,22900.75,22905.350348429987,22919.65,22894.15,22907.5875,22905.350348429987,22919.65,22894.15,22907.5875
2026-03-24T15:06:00+05:30,22906.5,22932.1,22902.35,22912.75,22906.468924214994,22932.1,22902.35,22913.425,22906.468924214994,22932.1,22902.35,22913.425
2026-03-24T15:09:00+05:30,22914.35,22922.85,22908.8,22916.2,22909.946962107497,22922.85,22908.8,22915.55,22909.946962107497,22922.85,22908.8,22915.55
2026-03-24T15:12:00+05:30,22917.3,22919.9,22898.65,22898.65,22912.74848105375,22919.9,22898.65,22908.625,22912.74848105375,22919.9,22898.65,22908.625
2026-03-24T15:15:00+05:30,22901.15,22916.5,22881.3,22914.5,22910.686740526875,22916.5,22881.3,22903.3625,22910.686740526875,22916.5,22881.3,22903.3625
2026-03-24T15:18:00+05:30,22914.9,22932,22907.8,22930.5,22907.024620263437,22932,22907.024620263437,22921.3,22907.024620263437,22932,22907.024620263437,22921.3
2026-03-24T15:21:00+05:30,22931.25,22932.05,22915.05,22924.7,22914.162310131716,22932.05,22914.162310131716,22925.7625,22914.162310131716,22932.05,22914.162310131716,22925.7625
2026-03-24T15:24:00+05:30,22926.3,22950.3,22923.25,22949,22919.96240506586,22950.3,22919.96240506586,22937.2125,22919.96240506586,22950.3,22919.96240506586,22937.2125
2026-03-24T15:27:00+05:30,22948.3,22961.7,22946,22958.4,22928.58745253293,22961.7,22928.58745253293,22953.6,22928.58745253293,22961.7,22928.58745253293,22953.6
2026-03-25T09:15:00+05:30,23063.75,23173.05,23063.2,23167.35,22941.093726266467,23173.05,22941.093726266467,23116.8375,22941.093726266467,23173.05,22941.093726266467,23116.8375
2026-03-25T09:18:00+05:30,23167.7,23187.4,23132.95,23182.35,23028.965613133234,23187.4,23028.965613133234,23167.6,23028.965613133234,23187.4,23028.965613133234,23167.6
2026-03-25T09:21:00+05:30,23183.3,23196.9,23177.45,23185.35,23098.282806566618,23196.9,23098.282806566618,23185.75,23098.282806566618,23196.9,23098.282806566618,23185.75
2026-03-25T09:24:00+05:30,23187.3,23209.5,23187.15,23208.5,23142.01640328331,23209.5,23142.01640328331,23198.112500000003,23142.01640328331,23209.5,23142.01640328331,23198.112500000003
2026-03-25T09:27:00+05:30,23208.4,23220.8,23198.25,23215.1,23170.064451641658,23220.8,23170.064451641658,23210.637499999997,23170.064451641658,23220.8,23170.064451641658,23210.637499999997
2026-03-25T09:30:00+05:30,23214.65,23231.35,23207.8,23214.4,23190.350975820827,23231.35,23190.350975820827,23217.050000000003,23190.350975820827,23231.35,23190.350975820827,23217.050000000003
2026-03-25T09:33:00+05:30,23214.95,23239.95,23213.95,23235.5,23203.700487910413,23239.95,23203.700487910413,23226.0875,23203.700487910413,23239.95,23203.700487910413,23226.0875
2026-03-25T09:36:00+05:30,23235.3,23237.75,23204.15,23209.2,23214.893993955207,23237.75,23204.15,23221.600000000002,23214.893993955207,23237.75,23204.15,23221.600000000002
2026-03-25T09:39:00+05:30,23209.5,23219.1,23202.55,23212.8,23218.246996977607,23219.1,23202.55,23210.9875,23218.246996977607,23219.1,23202.55,23210.9875
2026-03-25T09:42:00+05:30,23211.95,23278.05,23211.95,23270.9,23214.6172484888,23278.05,23211.95,23243.2125,23214.6172484888,23278.05,23211.95,23243.2125
2026-03-25T09:45:00+05:30,23272.95,23287.35,23269.95,23276.3,23228.9148742444,23287.35,23228.9148742444,23276.6375,23228.9148742444,23287.35,23228.9148742444,23276.6375
2026-03-25T09:48:00+05:30,23277.95,23283.25,23262.05,23266.75,23252.776187122203,23283.25,23252.776187122203,23272.5,23252.776187122203,23283.25,23252.776187122203,23272.5
2026-03-25T09:51:00+05:30,23266.4,23286.05,23262.75,23274.85,23262.6380935611,23286.05,23262.6380935611,23272.512499999997,23262.6380935611,23286.05,23262.6380935611,23272.512499999997
2026-03-25T09:54:00+05:30,23273.4,23298.25,23269.9,23285.15,23267.57529678055,23298.25,23267.57529678055,23281.675000000003,23267.57529678055,23298.25,23267.57529678055,23281.675000000003
2026-03-25T09:57:00+05:30,23284.45,23287.75,23269.35,23286.05,23274.625148390274,23287.75,23269.35,23281.899999999998,23274.625148390274,23287.75,23269.35,23281.899999999998
2026-03-25T10:00:00+05:30,23287.4,23304.7,23276.95,23280,23278.262574195134,23304.7,23276.95,23287.2625,23278.262574195134,23304.7,23276.95,23287.2625
2026-03-25T10:03:00+05:30,23279.85,23289.35,23277.05,23282.7,23282.762537097566,23289.35,23277.05,23282.2375,23282.762537097566,23289.35,23277.05,23282.2375
2026-03-25T10:06:00+05:30,23282.25,23283.1,23246.55,23277.75,23282.50001854878,23283.1,23246.55,23272.4125,23282.50001854878,23283.1,23246.55,23272.4125
2026-03-25T10:09:00+05:30,23278.4,23305.4,23272.55,23303.35,23277.45625927439,23305.4,23272.55,23289.925000000003,23277.45625927439,23305.4,23272.55,23289.925000000003
2026-03-25T10:12:00+05:30,23301.95,23310.35,23299.45,23305.55,23283.690629637196,23310.35,23283.690629637196,23304.325,23283.690629637196,23310.35,23283.690629637196,23304.325
2026-03-25T10:15:00+05:30,23306.6,23317.9,23291.4,23312.6,23294.0078148186,23317.9,23291.4,23307.125,23294.0078148186,23317.9,23291.4,23307.125
2026-03-25T10:18:00+05:30,23310.15,23313.75,23289.95,23301.8,23300.5664074093,23313.75,23289.95,23303.912500000002,23300.5664074093,23313.75,23289.95,23303.912500000002
2026-03-25T10:21:00+05:30,23301.45,23313.65,23283.35,23288.1,23302.23945370465,23313.65,23283.35,23296.637500000004,23302.23945370465,23313.65,23283.35,23296.637500000004
2026-03-25T10:24:00+05:30,23287.15,23314.6,23287.15,23310.75,23299.438476852327,23314.6,23287.15,23299.9125,23299.438476852327,23314.6,23287.15,23299.9125
2026-03-25T10:27:00+05:30,23309.7,23318.55,23300.2,23314.55,23299.67548842616,23318.55,23299.67548842616,23310.75,23299.67548842616,23318.55,23299.67548842616,23310.75
2026-03-25T10:30:00+05:30,23313.7,23324.95,23299.95,23304.5,23305.21274421308,23324.95,23299.95,23310.775,23305.21274421308,23324.95,23299.95,23310.775
2026-03-25T10:33:00+05:30,23304.2,23317.55,23303.85,23305.85,23307.99387210654,23317.55,23303.85,23307.862500000003,23307.99387210654,23317.55,23303.85,23307.862500000003
2026-03-25T10:36:00+05:30,23305.6,23319.2,23302,23309.85,23307.928186053272,23319.2,23302,23309.1625,23307.928186053272,23319.2,23302,23309.1625
2026-03-25T10:39:00+05:30,23309.4,23335.2,23306.8,23332.85,23308.545343026635,23335.2,23306.8,23321.0625,23308.545343026635,23335.2,23306.8,23321.0625
2026-03-25T10:42:00+05:30,23332.6,23369.6,23331.05,23366.65,23314.803921513318,23369.6,23314.803921513318,23349.975,23314.803921513318,23369.6,23314.803921513318,23349.975
2026-03-25T10:45:00+05:30,23366.25,23373.25,23357,23359.95,23332.389460756658,23373.25,23332.389460756658,23364.1125,23332.389460756658,23373.25,23332.389460756658,23364.1125
2026-03-25T10:48:00+05:30,23359.1,23366.8,23357.7,23360.55,23348.25098037833,23366.8,23348.25098037833,23361.0375,23348.25098037833,23366.8,23348.25098037833,23361.0375
2026-03-25T10:51:00+05:30,23359.9,23378.35,23354.35,23372.85,23354.64424018916,23378.35,23354.35,23366.362500000003,23354.64424018916,23378.35,23354.35,23366.362500000003
2026-03-25T10:54:00+05:30,23371.35,23376.25,23362.85,23367.85,23360.503370094582,23376.25,23360.503370094582,23369.574999999997,23360.503370094582,23376.25,23360.503370094582,23369.574999999997
2026-03-25T10:57:00+05:30,23366.9,23369.9,23357.2,23367.45,23365.039185047288,23369.9,23357.2,23365.3625,23365.039185047288,23369.9,23357.2,23365.3625
2026-03-25T11:00:00+05:30,23366,23391.95,23366,23387.6,23365.20084252364,23391.95,23365.20084252364,23377.887499999997,23365.20084252364,23391.95,23365.20084252364,23377.887499999997
2026-03-25T11:03:00+05:30,23388.05,23395.95,23381.35,23394.9,23371.54417126182,23395.95,23371.54417126182,23390.0625,23371.54417126182,23395.95,23371.54417126182,23390.0625
2026-03-25T11:06:00+05:30,23393.8,23429.35,23390.05,23427.75,23380.80333563091,23429.35,23380.80333563091,23410.2375,23380.80333563091,23429.35,23380.80333563091,23410.2375
2026-03-25T11:09:00+05:30,23429.2,23432.6,23415.95,23419.75,23395.520417815453,23432.6,23395.520417815453,23424.375,23395.520417815453,23432.6,23395.520417815453,23424.375
