time,open,high,low,close,EMA 126,Upper Band,Lower Band
2026-05-07T13:21:00+05:30,24368.35,24373.45,24350.75,24353.5,24305.38696102505,24330.38696102505,24280.38696102505
2026-05-07T13:24:00+05:30,24353.8,24359.9,24339.5,24350.4,24306.095827780562,24331.095827780562,24281.095827780562
2026-05-07T13:27:00+05:30,24350.45,24355.9,24341.9,24353.35,24306.839987972995,24331.839987972995,24281.839987972995
2026-05-07T13:30:00+05:30,24353.55,24364.2,24344,24348.15,24307.4905393435,24332.4905393435,24282.4905393435
2026-05-07T13:33:00+05:30,24346.95,24361.5,24346.95,24350.75,24308.17179069242,24333.17179069242,24283.17179069242
2026-05-07T13:36:00+05:30,24354.1,24364.15,24339.4,24343.4,24308.726565642148,24333.726565642148,24283.726565642148
2026-05-07T13:39:00+05:30,24343.8,24355.75,24331.65,24352.05,24309.408824450933,24334.408824450933,24284.408824450933
2026-05-07T13:42:00+05:30,24352.3,24360.95,24347.55,24349.75,24310.04411855407,24335.04411855407,24285.04411855407
2026-05-07T13:45:00+05:30,24348.6,24357.75,24337.9,24357.75,24310.79539227763,24335.79539227763,24285.79539227763
2026-05-07T13:48:00+05:30,24356.9,24360.4,24341.75,24350.7,24311.423811296878,24336.423811296878,24286.423811296878
2026-05-07T13:51:00+05:30,24351.1,24362.3,24344.1,24362.15,24312.22264891425,24337.22264891425,24287.22264891425
2026-05-07T13:54:00+05:30,24361.2,24374.8,24354.4,24357.3,24312.932528458907,24337.932528458907,24287.932528458907
2026-05-07T13:57:00+05:30,24356.85,24369.7,24356.85,24368.65,24313.80996895562,24338.80996895562,24288.80996895562
2026-05-07T14:00:00+05:30,24368.05,24375.3,24360.9,24363.45,24314.59170172797,24339.59170172797,24289.59170172797
2026-05-07T14:03:00+05:30,24364.35,24366.3,24337.1,24346.95,24315.10128122832,24340.10128122832,24290.10128122832
2026-05-07T14:06:00+05:30,24347.1,24373,24347.1,24371.85,24315.994961838896,24340.994961838896,24290.994961838896
2026-05-07T14:09:00+05:30,24372.75,24375.65,24359.9,24368.9,24316.828112046158,24341.828112046158,24291.828112046158
2026-05-07T14:12:00+05:30,24368.35,24373.25,24360.15,24361.65,24317.533968549367,24342.533968549367,24292.533968549367
2026-05-07T14:15:00+05:30,24361.25,24364.5,24344.4,24344.55,24317.95941786355,24342.95941786355,24292.95941786355
2026-05-07T14:18:00+05:30,24342.95,24355.65,24333.35,24336.75,24318.255332542863,24343.255332542863,24293.255332542863
2026-05-07T14:21:00+05:30,24336.85,24361.85,24334.3,24360.35,24318.918240691793,24343.918240691793,24293.918240691793
2026-05-07T14:24:00+05:30,24360.05,24381.1,24357.8,24363.8,24319.625040050978,24344.625040050978,24294.625040050978
2026-05-07T14:27:00+05:30,24362.7,24381.05,24361.3,24376.9,24320.527007924193,24345.527007924193,24295.527007924193
2026-05-07T14:30:00+05:30,24376.5,24383.55,24357.85,24369.65,24321.300598350583,24346.300598350583,24296.300598350583
2026-05-07T14:33:00+05:30,24369.35,24385.3,24362.15,24369.8,24322.0643684553,24347.0643684553,24297.0643684553
2026-05-07T14:36:00+05:30,24367.75,24369.25,24355.85,24359.55,24322.654693361514,24347.654693361514,24297.654693361514
2026-05-07T14:39:00+05:30,24358.45,24362.1,24349.45,24352.85,24323.13021000149,24348.13021000149,24298.13021000149
2026-05-07T14:42:00+05:30,24352.55,24358.35,24334.1,24339.45,24323.387214568396,24348.387214568396,24298.387214568396
2026-05-07T14:45:00+05:30,24339.55,24351.5,24323.05,24334.45,24323.56143166181,24348.56143166181,24298.56143166181
2026-05-07T14:48:00+05:30,24332.7,24343.25,24323.7,24336.95,24323.772275257685,24348.772275257685,24298.772275257685
2026-05-07T14:51:00+05:30,24336.65,24349.45,24336.65,24348.1,24324.155389033152,24349.155389033152,24299.155389033152
2026-05-07T14:54:00+05:30,24346.7,24360.75,24345.35,24358.75,24324.700186056252,24349.700186056252,24299.700186056252
2026-05-07T14:57:00+05:30,24358.7,24362.7,24340.8,24352.65,24325.140340606547,24350.140340606547,24300.140340606547
2026-05-07T15:00:00+05:30,24353.1,24363.1,24324.95,24327.4,24325.175925793847,24350.175925793847,24300.175925793847
2026-05-07T15:03:00+05:30,24328.2,24342.6,24323.05,24339.5,24325.4015017656,24350.4015017656,24300.4015017656
2026-05-07T15:06:00+05:30,24341.2,24345.5,24308.35,24318.7,24325.295966304722,24350.295966304722,24300.295966304722
2026-05-07T15:09:00+05:30,24318.85,24320.55,24296.95,24297.15,24324.852722740867,24349.852722740867,24299.852722740867
2026-05-07T15:12:00+05:30,24297.9,24311.95,24293.4,24303.1,24324.51016017802,24349.51016017802,24299.51016017802
2026-05-07T15:15:00+05:30,24303.25,24321.05,24299.4,24316.6,24324.385590726397,24349.385590726397,24299.385590726397
2026-05-07T15:18:00+05:30,24317.2,24329.7,24313.2,24320.3,24324.32125071496,24349.32125071496,24299.32125071496
2026-05-07T15:21:00+05:30,24321.5,24322.1,24318.2,24320.25,24324.257136530472,24349.257136530472,24299.257136530472
2026-05-07T15:24:00+05:30,24320.1,24339.05,24315.35,24336.5,24324.449937529993,24349.449937529993,24299.449937529993
2026-05-07T15:27:00+05:30,24337.05,24338.9,24326.65,24336.4,24324.63812749015,24349.63812749015,24299.63812749015
2026-05-08T09:15:00+05:30,24246.05,24246.05,24158.15,24210.3,24322.837527057236,24347.837527057236,24297.837527057236
2026-05-08T09:18:00+05:30,24210.95,24225.5,24197.2,24220.8,24321.23063686736,24346.23063686736,24296.23063686736
2026-05-08T09:21:00+05:30,24219.7,24253.8,24219.3,24228.65,24319.772674082047,24344.772674082047,24294.772674082047
2026-05-08T09:24:00+05:30,24229.15,24241.6,24210.5,24222.65,24318.243183151622,24343.243183151622,24293.243183151622
2026-05-08T09:27:00+05:30,24224.8,24245.75,24223.05,24244.15,24317.076361369705,24342.076361369705,24292.076361369705
2026-05-08T09:30:00+05:30,24244.3,24244.95,24212.7,24212.7,24315.43263914341,24340.43263914341,24290.43263914341
2026-05-08T09:33:00+05:30,24214.1,24219.45,24184.6,24193.3,24313.509290495484,24338.509290495484,24288.509290495484
2026-05-08T09:36:00+05:30,24194.05,24204.5,24188.9,24194,24311.62725442469,24336.62725442469,24286.62725442469
2026-05-08T09:39:00+05:30,24195.35,24195.35,24183.55,24184.7,24309.6284000243,24334.6284000243,24284.6284000243
2026-05-08T09:42:00+05:30,24186.25,24186.25,24167.75,24167.75,24307.394094512107,24332.394094512107,24282.394094512107
2026-05-08T09:45:00+05:30,24169.05,24175.05,24138.4,24160.45,24305.08001428357,24330.08001428357,24280.08001428357
2026-05-08T09:48:00+05:30,24162.9,24176.85,24146.6,24163.05,24302.843321145247,24327.843321145247,24277.843321145247
2026-05-08T09:51:00+05:30,24164.75,24180.45,24161.8,24180.25,24300.912717662643,24325.912717662643,24275.912717662643
2026-05-08T09:54:00+05:30,24181.45,24188.8,24175.55,24187.7,24299.129840219135,24324.129840219135,24274.129840219135
2026-05-08T09:57:00+05:30,24189.65,24199.65,24186.95,24198.45,24297.544330924346,24322.544330924346,24272.544330924346
2026-05-08T10:00:00+05:30,24199.15,24202.85,24191.9,24194.4,24295.92001075231,24320.92001075231,24270.92001075231
2026-05-08T10:03:00+05:30,24195.35,24201,24187.6,24196.45,24294.35355389007,24319.35355389007,24269.35355389007
2026-05-08T10:06:00+05:30,24197.2,24199.1,24193,24197.5,24292.828301072903,24317.828301072903,24267.828301072903
2026-05-08T10:09:00+05:30,24198.15,24198.15,24179.25,24182.5,24291.0908475127,24316.0908475127,24266.0908475127
2026-05-08T10:12:00+05:30,24183.95,24213.7,24175.1,24211.3,24289.83429873297,24314.83429873297,24264.83429873297
2026-05-08T10:15:00+05:30,24213.8,24214.3,24183.95,24186,24288.19911292615,24313.19911292615,24263.19911292615
2026-05-08T10:18:00+05:30,24187.35,24210.05,24181.25,24208.7,24286.947158391882,24311.947158391882,24261.947158391882
2026-05-08T10:21:00+05:30,24209.5,24231.5,24207.85,24230.25,24286.05428975579,24311.05428975579,24261.05428975579
2026-05-08T10:24:00+05:30,24231.7,24236.75,24218.9,24229.65,24285.166033224203,24310.166033224203,24260.166033224203
2026-05-08T10:27:00+05:30,24231.3,24243.95,24226,24238.05,24284.42404844902,24309.42404844902,24259.42404844902
2026-05-08T10:30:00+05:30,24238.85,24242.55,24233.4,24234.3,24283.634693355332,24308.634693355332,24258.634693355332
2026-05-08T10:33:00+05:30,24236.5,24237.1,24228.35,24228.35,24282.76406826312,24307.76406826312,24257.76406826312
2026-05-08T10:36:00+05:30,24230.2,24237.1,24226.35,24231.1,24281.9504608889,24306.9504608889,24256.9504608889
2026-05-08T10:39:00+05:30,24232.5,24239.5,24226.9,24239,24281.27407567805,24306.27407567805,24256.27407567805
2026-05-08T10:42:00+05:30,24240.15,24241.3,24231.5,24232.25,24280.502042990207,24305.502042990207,24255.502042990207
2026-05-08T10:45:00+05:30,24233.65,24239.85,24228.35,24229.55,24279.699648612408,24304.699648612408,24254.699648612408
2026-05-08T10:48:00+05:30,24231.4,24231.4,24216.85,24219,24278.74374863426,24303.74374863426,24253.74374863426
2026-05-08T10:51:00+05:30,24219.85,24219.85,24209.45,24211,24277.67691794711,24302.67691794711,24252.67691794711
2026-05-08T10:54:00+05:30,24213.25,24213.25,24201.15,24205.05,24276.533186955814,24301.533186955814,24251.533186955814
2026-05-08T10:57:00+05:30,24206.25,24208.05,24195.95,24195.95,24275.26416038958,24300.26416038958,24250.26416038958
2026-05-08T11:00:00+05:30,24197.8,24206.5,24193.85,24205.05,24274.158425580295,24299.158425580295,24249.158425580295
2026-05-08T11:03:00+05:30,24206.1,24230.7,24204.35,24225,24273.38427714596,24298.38427714596,24248.38427714596
2026-05-08T11:06:00+05:30,24227.25,24237.05,24226.75,24230.55,24272.709721600353,24297.709721600353,24247.709721600353
2026-05-08T11:09:00+05:30,24232.55,24232.55,24222.9,24224.15,24271.94500157515,24296.94500157515,24246.94500157515
2026-05-08T11:12:00+05:30,24225.1,24233.5,24221.5,24233,24271.33169446373,24296.33169446373,24246.33169446373
2026-05-08T11:15:00+05:30,24234.8,24241.65,24222.1,24223.3,24270.575289826505,24295.575289826505,24245.575289826505
2026-05-08T11:18:00+05:30,24224.2,24224.8,24212.05,24221.7,24269.80560022294,24294.80560022294,24244.80560022294
2026-05-08T11:21:00+05:30,24223.1,24224.15,24197.4,24197.4,24268.665354550136,24293.665354550136,24243.665354550136
2026-05-08T11:24:00+05:30,24199.45,24209.2,24199.25,24202.7,24267.626530069032,24292.626530069032,24242.626530069032
2026-05-08T11:27:00+05:30,24204.5,24204.5,24195.95,24198.35,24266.53556109157,24291.53556109157,24241.53556109157
2026-05-08T11:30:00+05:30,24199.9,24199.9,24185.6,24195.55,24265.417678239734,24290.417678239734,24240.417678239734
2026-05-08T11:33:00+05:30,24197.05,24210.9,24195.8,24203.65,24264.444958897377,24289.444958897377,24239.444958897377
2026-05-08T11:36:00+05:30,24205,24209.15,24199.5,24204.05,24263.493857182457,24288.493857182457,24238.493857182457
2026-05-08T11:39:00+05:30,24205.8,24209.9,24200.5,24208,24262.61993817171,24287.61993817171,24237.61993817171
2026-05-08T11:42:00+05:30,24208.8,24212.95,24199.45,24199.45,24261.625135995775,24286.625135995775,24236.625135995775
2026-05-08T11:45:00+05:30,24200.6,24208.4,24195.75,24204.35,24260.723165350173,24285.723165350173,24235.723165350173
2026-05-08T11:48:00+05:30,24205.6,24206.15,24197.85,24203.6,24259.823587943083,24284.823587943083,24234.823587943083
2026-05-08T11:51:00+05:30,24204.4,24209.35,24201.75,24207.3,24258.99644482587,24283.99644482587,24233.99644482587
2026-05-08T11:54:00+05:30,24208.9,24209.8,24190.2,24193.85,24257.970516560894,24282.970516560894,24232.970516560894
2026-05-08T11:57:00+05:30,24195.85,24207.35,24193.5,24205.85,24257.149721024503,24282.149721024503,24232.149721024503
2026-05-08T12:00:00+05:30,24206,24212,24187.45,24190.45,24256.099331717032,24281.099331717032,24231.099331717032
2026-05-08T12:03:00+05:30,24192.8,24204.3,24191.7,24202.05,24255.24816113881,24280.24816113881,24230.24816113881
2026-05-08T12:06:00+05:30,24202.95,24203.3,24182.8,24182.8,24254.107245215364,24279.107245215364,24229.107245215364
2026-05-08T12:09:00+05:30,24184.9,24187.1,24172.2,24183.25,24252.991383085988,24277.991383085988,24227.991383085988
2026-05-08T12:12:00+05:30,24183.7,24188.2,24177.2,24184.2,24251.908054218493,24276.908054218493,24226.908054218493
2026-05-08T12:15:00+05:30,24185.2,24185.2,24170.05,24172.65,24250.659895884342,24275.659895884342,24225.659895884342
2026-05-08T12:18:00+05:30,24173.75,24195.6,24171.35,24195.6,24249.792810909785,24274.792810909785,24224.792810909785
2026-05-08T12:21:00+05:30,24196.65,24198.2,24178.25,24179.4,24248.68426270648,24273.68426270648,24223.68426270648
2026-05-08T12:24:00+05:30,24180.65,24191.6,24179.35,24188,24247.728605026063,24272.728605026063,24222.728605026063
2026-05-08T12:27:00+05:30,24188.4,24198.45,24185.45,24196.1,24246.915556128013,24271.915556128013,24221.915556128013
2026-05-08T12:30:00+05:30,24195.25,24196.6,24172.75,24172.85,24245.749169417337,24270.749169417337,24220.749169417337
2026-05-08T12:33:00+05:30,24173.7,24181.65,24169.4,24177.2,24244.669654938323,24269.669654938323,24219.669654938323
2026-05-08T12:36:00+05:30,24178.15,24180.55,24168.85,24172.55,24243.53391234087,24268.53391234087,24218.53391234087
2026-05-08T12:39:00+05:30,24173.8,24177.65,24169.95,24173.9,24242.43731529613,24267.43731529613,24217.43731529613
2026-05-08T12:42:00+05:30,24175.15,24176.15,24164.1,24164.3,24241.206806393828,24266.206806393828,24216.206806393828
2026-05-08T12:45:00+05:30,24166,24166,24150.95,24155.85,24239.862604718335,24264.862604718335,24214.862604718335
2026-05-08T12:48:00+05:30,24157,24174,24154.9,24172.15,24238.79626448655,24263.79626448655,24213.79626448655
2026-05-08T12:51:00+05:30,24173.15,24175.05,24159.7,24169.1,24237.69868551826,24262.69868551826,24212.69868551826
2026-05-08T12:54:00+05:30,24170.1,24175.7,24162.8,24167.2,24236.588469998285,24261.588469998285,24211.588469998285
2026-05-08T12:57:00+05:30,24169.2,24171.75,24160.45,24163.4,24235.435895667604,24260.435895667604,24210.435895667604
2026-05-08T13:00:00+05:30,24165.55,24167.9,24160.85,24164.85,24234.324306759452,24259.324306759452,24209.324306759452
2026-05-08T13:03:00+05:30,24165.7,24165.7,24157.4,24162.85,24233.198727125444,24258.198727125444,24208.198727125444
2026-05-08T13:06:00+05:30,24164.55,24171.45,24161,24171.4,24232.225518824256,24257.225518824256,24207.225518824256
2026-05-08T13:09:00+05:30,24172.25,24178.05,24164.55,24170,24231.24558939395,24256.24558939395,24206.24558939395
2026-05-08T13:12:00+05:30,24171.65,24177.4,24165.5,24167,24230.23384782869,24255.23384782869,24205.23384782869
2026-05-08T13:15:00+05:30,24169.55,24170.7,24161.15,24162.7,24229.170322666036,24254.170322666036,24204.170322666036
2026-05-08T13:18:00+05:30,24163.45,24170.35,24156.9,24164.3,24228.14874278153,24253.14874278153,24203.14874278153
2026-05-08T13:21:00+05:30,24165.3,24170.7,24157.45,24166.4,24227.176321635365,24252.176321635365,24202.176321635365
