time,open,high,low,close,WMA44 (15m),Long,Short
2026-05-26T14:45:00+05:30,23898.1,23918.75,23885.45,23913.05,23996.424292929292,0,0
2026-05-26T15:00:00+05:30,23913.5,23931.05,23896.4,23908.8,23992.53757575757,0,0
2026-05-26T15:15:00+05:30,23907.7,23940.05,23907.15,23933.75,23989.809999999998,0,0
2026-05-27T09:15:00+05:30,23902.15,23950.15,23869.65,23903.25,23985.781060606063,0,0
2026-05-27T09:30:00+05:30,23903.95,23919.05,23869.75,23908.3,23982.052222222224,0,0
2026-05-27T09:45:00+05:30,23908.6,23909.65,23871.3,23874.95,23976.921262626263,0,0
2026-05-27T10:00:00+05:30,23874.75,23946.4,23868.5,23943.25,23974.929090909092,0,0
2026-05-27T10:15:00+05:30,23942.8,23971,23934.7,23963.2,23973.861666666664,0,0
2026-05-27T10:30:00+05:30,23963.4,23971.05,23934.45,23935.95,23971.60676767677,0,0
2026-05-27T10:45:00+05:30,23936.2,23976.4,23918.9,23966.95,23970.757878787885,0,0
2026-05-27T11:00:00+05:30,23968.25,23973.2,23950.7,23961.95,23969.676212121212,0,0
2026-05-27T11:15:00+05:30,23961.9,23981.25,23959,23974.9,23969.16666666667,0,0
2026-05-27T11:30:00+05:30,23974.65,23983.2,23947,23954.3,23967.720858585857,0,1
2026-05-27T11:45:00+05:30,23953.5,23963.6,23928.75,23934.05,23965.398181818186,0,0
2026-05-27T12:00:00+05:30,23933.5,23941.75,23918.35,23921.9,23962.586060606063,0,0
2026-05-27T12:15:00+05:30,23922.55,23940.85,23905.15,23906.45,23959.12974747475,0,0
2026-05-27T12:30:00+05:30,23906.3,23938.3,23902.45,23936.3,23957.0595959596,0,0
2026-05-27T12:45:00+05:30,23936.1,23936.35,23904.05,23905.25,23953.631919191914,0,0
2026-05-27T13:00:00+05:30,23905.6,23923.45,23895,23898.15,23949.96232323232,0,0
2026-05-27T13:15:00+05:30,23897.15,23905.3,23884.15,23892.3,23946.143484848486,0,0
2026-05-27T13:30:00+05:30,23892.05,23915.15,23890.15,23891.55,23942.435454545455,0,0
2026-05-27T13:45:00+05:30,23891.25,23916.35,23882.05,23912.5,23939.803686868687,0,0
2026-05-27T14:00:00+05:30,23912.3,23924.1,23894.45,23896,23936.577373737375,0,0
2026-05-27T14:15:00+05:30,23895.95,23922.25,23884.5,23890.35,23933.239444444444,0,0
2026-05-27T14:30:00+05:30,23890.25,23890.25,23858.25,23875.05,23929.3952020202,0,0
2026-05-27T14:45:00+05:30,23875.4,23901.05,23866.95,23896.55,23926.661767676764,0,0
2026-05-27T15:00:00+05:30,23896.75,23906.45,23879.15,23902.8,23924.37424242424,0,0
2026-05-27T15:15:00+05:30,23903.8,23926.85,23902.5,23921.6,23923.092575757575,0,0
2026-05-29T09:15:00+05:30,23903.45,24002.8,23889.15,23893.4,23920.71065656566,0,0
2026-05-29T09:30:00+05:30,23892.2,23933.85,23872.6,23875.75,23917.72454545454,0,0
2026-05-29T09:45:00+05:30,23875.8,23922.8,23871.1,23907.45,23916.34282828283,0,0
2026-05-29T10:00:00+05:30,23906.7,23954.5,23894.75,23945.7,23916.79984848485,0,0
2026-05-29T10:15:00+05:30,23946.1,23951.9,23908.95,23911.65,23915.862171717174,0,0
2026-05-29T10:30:00+05:30,23911.2,23929.65,23900.45,23900.65,23914.565202020207,0,1
2026-05-29T10:45:00+05:30,23900.9,23907.8,23877.65,23903.1,23913.499797979795,0,0
2026-05-29T11:00:00+05:30,23902.8,23912.7,23892.75,23896.85,23912.276616161613,0,0
2026-05-29T11:15:00+05:30,23897.2,23910.15,23888.95,23889.55,23910.843434343435,0,0
2026-05-29T11:30:00+05:30,23889.2,23894.5,23875.35,23885.9,23909.358131313136,0,0
2026-05-29T11:45:00+05:30,23885.55,23914,23883.35,23890.8,23908.179949494952,0,0
2026-05-29T12:00:00+05:30,23890.3,23891.65,23825.35,23835.7,23904.650555555552,0,0
2026-05-29T12:15:00+05:30,23835.95,23857.75,23815.1,23855.8,23902.138535353533,0,0
2026-05-29T12:30:00+05:30,23856.2,23859.05,23840.95,23849.9,23899.446515151514,0,0
2026-05-29T12:45:00+05:30,23849.85,23855.25,23821.95,23837.55,23896.280656565654,0,0
2026-05-29T13:00:00+05:30,23837.05,23838.3,23769.15,23769.25,23890.165151515146,0,0
2026-05-29T13:15:00+05:30,23769.65,23789.5,23759.55,23775.6,23884.462121212116,0,0
2026-05-29T13:30:00+05:30,23775.35,23786.05,23765.95,23773.4,23878.800151515163,0,0
2026-05-29T13:45:00+05:30,23773.15,23775.1,23739.7,23757.65,23872.57494949495,0,0
2026-05-29T14:00:00+05:30,23758.05,23759.5,23731.25,23744.45,23865.940959595955,0,0
2026-05-29T14:15:00+05:30,23743.8,23762.25,23731.55,23760.1,23860.16292929292,0,0
2026-05-29T14:30:00+05:30,23759.55,23802.05,23759.55,23786.1,23855.69015151515,0,0
2026-05-29T14:45:00+05:30,23786.75,23795.3,23752.25,23773.35,23850.740454545456,0,0
2026-05-29T15:00:00+05:30,23773.3,23773.3,23505.6,23528.7,23835.089040404044,0,0
2026-05-29T15:15:00+05:30,23527.2,23618,23484.75,23609.3,23823.458737373738,0,0
2026-06-01T09:15:00+05:30,23667.95,23733.7,23587.75,23592.95,23811.431717171716,0,0
2026-06-01T09:30:00+05:30,23591.95,23623.8,23565.8,23576.7,23799.060252525258,0,0
2026-06-01T09:45:00+05:30,23575.35,23595.4,23556.75,23561.8,23786.415707070704,0,0
2026-06-01T10:00:00+05:30,23561.05,23572.35,23537,23553.15,23773.803989898985,0,0
2026-06-01T10:15:00+05:30,23552.7,23566.4,23536.8,23539.85,23761.00636363636,0,0
2026-06-01T10:30:00+05:30,23539.35,23555.15,23517.7,23538.25,23748.53580808081,0,0
2026-06-01T10:45:00+05:30,23538.2,23597.2,23537,23569.75,23737.852777777778,0,0
2026-06-01T11:00:00+05:30,23569.95,23615.5,23569.95,23606.2,23729.12984848485,0,0
2026-06-01T11:15:00+05:30,23605.4,23619.25,23558.45,23559.15,23718.649242424246,0,0
2026-06-01T11:30:00+05:30,23558.6,23570.1,23539,23550,23708.111565656556,0,0
2026-06-01T11:45:00+05:30,23549.75,23562.2,23491.85,23493.75,23695.42555555556,0,0
2026-06-01T12:00:00+05:30,23493.65,23533.35,23486,23530,23684.75323232323,0,0
2026-06-01T12:15:00+05:30,23529.35,23533.15,23510.65,23516.95,23673.866111111114,0,0
2026-06-01T12:30:00+05:30,23516.4,23526,23502.95,23515.85,23663.32964646465,0,0
2026-06-01T12:45:00+05:30,23515.05,23536.95,23499.25,23513.45,23653.070505050502,0,0
2026-06-01T13:00:00+05:30,23513.05,23520.75,23453.25,23460.65,23640.845404040407,0,0
2026-06-01T13:15:00+05:30,23459.95,23486.45,23458.15,23483.5,23630.054444444446,0,0
2026-06-01T13:30:00+05:30,23482.3,23500.4,23475.2,23482.95,23619.65626262626,0,0
2026-06-01T13:45:00+05:30,23481.85,23483.55,23447.7,23456.3,23608.497727272723,0,0
2026-06-01T14:00:00+05:30,23456.1,23459.6,23413,23416.95,23596.060303030303,0,0
2026-06-01T14:15:00+05:30,23417.05,23428.3,23389.6,23395,23583.12858585859,0,0
2026-06-01T14:30:00+05:30,23394.1,23422.65,23379.95,23416.3,23571.629141414138,0,0
2026-06-01T14:45:00+05:30,23417.3,23427.35,23360.15,23373.7,23558.732474747478,0,0
2026-06-01T15:00:00+05:30,23373.95,23412.1,23357.95,23389.25,23547.104696969698,0,0
2026-06-01T15:15:00+05:30,23389.4,23402.8,23362.8,23379.2,23535.557929292932,0,0
2026-06-02T09:15:00+05:30,23265.4,23297.75,23233.4,23279.55,23520.10898989899,0,0
2026-06-02T09:30:00+05:30,23282.1,23307.15,23261.2,23301.85,23506.28101010101,0,0
2026-06-02T09:45:00+05:30,23301.95,23322.75,23270.95,23315.2,23493.647373737374,0,0
2026-06-02T10:00:00+05:30,23316.2,23325.15,23280.95,23281.45,23480.09388888889,0,0
2026-06-02T10:15:00+05:30,23281.4,23375.95,23265.65,23369.6,23471.068737373746,0,0
2026-06-02T10:30:00+05:30,23371,23373.2,23327.75,23352.45,23461.807828282825,0,0
