symbol,company_name,market_cap_cr
MPHASIS,Mphasis Ltd,39193
KALYANKJIL,Kalyan Jewellers India Ltd,38816
GLAXO,Glaxosmithkline Pharmaceuticals Ltd,38682
KEI,KEI Industries Ltd,38531
360ONE,360 ONE WAM Ltd,38496
TATACOMM,Tata Communications Ltd,38414
MOTILALOFS,Motilal Oswal Financial Services Ltd,38077
COFORGE,Coforge Ltd,37431
PETRONET,Petronet LNG Ltd,37252
NLCINDIA,NLC India Ltd,37245
ANTHEM,Anthem Biosciences Ltd,36865
AIIL,Authum Investment & Infrastructure Ltd,36546
PAGEIND,Page Industries Ltd,35543
RADICO,Radico Khaitan Ltd,35210
AJANTPHARM,Ajanta Pharma Ltd,35026
ASTERDM,Aster DM Healthcare Ltd,34794
AIAENG,AIA Engineering Ltd,33953
DALBHARAT,Dalmia Bharat Ltd,33311
FLUOROCHEM,Gujarat Fluorochemicals Ltd,33290
JBCHEPHARM,J B Chemicals & Pharmaceuticals Ltd,33126
BLUESTARCO,Blue Star Ltd,33114
LTTS,L&T Technology Services Ltd,33071
NH,Narayana Hrudayalaya Ltd,32813
CONCOR,Container Corporation Of India Ltd,32399
HUDCO,Housing & Urban Development Corporation Ltd,31910
NHIT,National Highways Infra Trust,31764
NAVINFLUOR,Navin Fluorine International Ltd,31557
MRPL,Mangalore Refinery And Petrochemicals Ltd,31529
COCHINSHIP,Cochin Shipyard Ltd,31414
DELHIVERY,Delhivery Ltd,31187
ENDURANCE,Endurance Technologies Ltd,31141
IREDA,Indian Renewable Energy Development Agency Ltd,30677
ESCORTS,Escorts Kubota Ltd,30639
PGHH,Procter & Gamble Hygiene and Health Care Ltd,30270
EMCURE,Emcure Pharmaceuticals Ltd,30258
GODIGIT,Go Digit General Insurance Ltd,30116
SONACOMS,Sona BLW Precision Forgings Ltd,29957
POONAWALLA,Poonawalla Fincorp Ltd,29944
GODFRYPHLP,Godfrey Phillips India Ltd,29220
ATHERENERG,Ather Energy Ltd,28815
ITCHOTELS,ITC Hotels Ltd,28724
JUBLFOOD,Jubilant Foodworks Ltd,28670
CENTRALBK,Central Bank of India,28467
KPRMILL,K P R Mill Ltd,28343
TVSHLTD,TVS Holdings Ltd,28259
GLAND,Gland Pharma Ltd,27964
KARURVYSYA,Karur Vysya Bank Ltd,27937
MINDSPACE,Mindspace Business Parks REIT,27910
CRISIL,CRISIL Ltd,27487
TATAINVEST,Tata Investment Corporation Ltd,27370
LICHSGFIN,LIC Housing Finance Ltd,27239
STARHEALTH,Star Health & Allied Insurance Company Ltd,26905
IRB,IRB Infrastructure Developers Ltd,26704
ZFCVINDIA,ZF Commercial Vehicle Control System India Ltd,26383
APOLLOTYRE,Apollo Tyres Ltd,26166
HEXT,Hexaware Technologies Ltd,25965
MEDANTA,Global Health Ltd,25851
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,25642
PFOCUS,Prime Focus Ltd,25569
FORCEMOT,Force Motors Ltd,25566
ABSLAMC,Aditya Birla Sun Life AMC Ltd,25401
ANANDRATHI,Anand Rathi Wealth Ltd,25204
GODREJIND,Godrej Industries Ltd,25198
PWL,Physicswallah Ltd,25025
KIMS,Krishna Institute of Medical Sciences Ltd,24911
SJVN,SJVN Ltd,24903
EXIDEIND,Exide Industries Ltd,24480
MSUMI,Motherson Sumi Wiring India Ltd,24464
TIMKEN,Timken India Ltd,24340
METROBRAND,Metro Brands Ltd,24328
BIRET,Brookfield India Real Estate Trust,23922
GILLETTE,Gillette India Ltd,23627
ACC,ACC Ltd,23535
CDSL,Central Depository Services (India) Ltd,23395
HONAUT,Honeywell Automation India Ltd,23290
AWL,AWL Agri Business Ltd,23121
AMBER,Amber Enterprises India Ltd,23055
ITI,ITI Ltd,23020
KAYNES,Kaynes Technology India Ltd,22978
NXST,Nexus Select Trust,22830
IKS,Inventurus Knowledge Solutions Ltd,22799
BANDHANBNK,Bandhan Bank Ltd,22755
GRSE,Garden Reach Shipbuilders & Engineers Ltd,22576
PTCIL,PTC Industries Ltd,22477
SUNTV,Sun TV Network Ltd,22329
HSCL,Himadri Speciality Chemical Ltd,22270
LALPATHLAB,Dr Lal Pathlabs Ltd,22015
RAMCOCEM,The Ramco Cements Ltd,21939
PFIZER,Pfizer Ltd,21592
SHYAMMETL,Shyam Metalics & Energy Ltd,21488
WELCORP,Welspun Corp Ltd,21459
MANAPPURAM,Manappuram Finance Ltd,21246
CPPLUS,Aditya Infotech Ltd,21176
GUJGASLTD,Gujarat Gas Ltd,21147
NUVAMA,Nuvama Wealth Management Ltd,21028
AEGISLOG,Aegis Logistics Ltd,21013
ACUTAAS,Acutaas Chemicals Ltd,20945
NBCC,NBCC (India) Ltd,20928
BAYERCROP,Bayer CropScience Ltd,20905
TENNIND,Tenneco Clean Air India Ltd,20765
ANGELONE,Angel One Ltd,20727
TATATECH,Tata Technologies Ltd,20683
SAILIFE,Sai Life Sciences Ltd,20554
AFFLE,Affle 3i Ltd,20393
IGL,Indraprastha Gas Ltd,20391
SCHNEIDER,Schneider Electric Infrastructure Ltd,20185
GESHIP,Great Eastern Shipping Company Ltd,20182
ASAHIINDIA,Asahi India Glass Ltd,20027
CESC,CESC Ltd,19910
PNBHOUSING,PNB Housing Finance Ltd,19717
CUBEINVIT,Cube Highways Trust,19623
AADHARHFC,Aadhar Housing Finance Ltd,19598
